Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0,Distance_B_Blu_FF_FF_11_10_14_A0,Distance_B_Verde_FF:FF:11:15:2D:C4,Distance_B_Nero_FF:FF:11:15:F5:9A
266.0,0.7,1.33,-80.0,-67.0,-63.0,1.503,2.005,1.978
267.0,0.7,1.43,-75.0,-71.0,-60.0,1.592,2.072,1.885
268.0,0.7,1.53,-71.0,-66.0,-59.0,1.683,2.143,1.792
269.0,0.7,1.63,-84.0,-70.0,-58.0,1.774,2.215,1.701
270.0,0.7,1.73,-73.0,-66.0,-63.0,1.866,2.29,1.61
271.0,0.7,1.83,-71.0,-77.0,-63.0,1.959,2.366,1.521
272.0,0.7,1.93,-62.0,-67.0,-62.0,2.053,2.444,1.433
273.0,0.7,2.03,-66.0,-73.0,-67.0,2.147,2.524,1.346
274.0,0.7,2.13,-68.0,-67.0,-63.0,2.242,2.605,1.262
275.0,0.7,2.23,-66.0,-73.0,-64.0,2.337,2.688,1.18
276.0,0.7,2.33,-74.0,-64.0,-65.0,2.433,2.771,1.101
277.0,0.7,2.43,-65.0,-64.0,-63.0,2.529,2.856,1.026
278.0,0.7,2.53,-73.0,-62.0,-68.0,2.625,2.941,0.955
279.0,0.7,2.63,-76.0,-74.0,-68.0,2.722,3.028,0.89
280.0,0.7,2.73,-68.0,-61.0,-66.0,2.818,3.115,0.832
281.0,0.8,0.83,-64.0,-77.0,-61.0,1.153,1.628,2.482
282.0,0.8,0.93,-73.0,-66.0,-59.0,1.227,1.681,2.388
283.0,0.8,1.03,-79.0,-64.0,-61.0,1.304,1.738,2.294
284.0,0.8,1.13,-76.0,-62.0,-61.0,1.385,1.799,2.201
285.0,0.8,1.23,-77.0,-73.0,-59.0,1.467,1.864,2.108
286.0,0.8,1.33,-74.0,-76.0,-56.0,1.552,1.931,2.016
287.0,0.8,1.43,-80.0,-66.0,-58.0,1.639,2.001,1.924
288.0,0.8,1.53,-72.0,-73.0,-60.0,1.727,2.074,1.834
289.0,0.8,1.63,-67.0,-68.0,-60.0,1.816,2.149,1.744
290.0,0.8,1.73,-70.0,-69.0,-60.0,1.906,2.226,1.656
291.0,0.8,1.83,-72.0,-64.0,-63.0,1.997,2.304,1.569
292.0,0.8,1.93,-76.0,-65.0,-62.0,2.089,2.384,1.484
